BJD - 2454833, Corrected Flux
2773.454828041, 1.033646400,
2773.475259760, 1.033746936,
2773.495691380, 1.033903611,
2773.516123199, 1.033904740,
2773.536554918, 1.033803084,
2773.556986537, 1.033511860,
2773.577418356, 1.033549358,
2773.597850075, 1.034590997,
2773.618281694, 1.033505453,
2773.638713512, 1.034099412,
2773.659145230, 1.034424324,
2773.679576948, 1.034080941,
2773.700008666, 1.034007520,
2773.720440384, 1.033831772,
2773.740872102, 1.033411889,
2773.761303819, 1.033580353,
2773.781735536, 1.033884929,
2773.802167254, 1.033945233,
2773.822598971, 1.033895697,
2773.843030688, 1.033611231,
2773.863462504, 1.033557045,
2773.883894121, 1.033760282,
2773.904325837, 1.033795820,
2773.924757653, 1.033287931,
2773.945189269, 1.034098560,
2773.965620985, 1.033707041,
2773.986052801, 1.033407022,
2774.006484416, 1.033700414,
2774.026916232, 1.033732288,
2774.047347947, 1.033901354,
2774.067779562, 1.033737772,
2774.088211377, 1.033567274,
2774.108643092, 1.033516173,
2774.129074707, 1.033694958,
2774.149506521, 1.032947181,
2774.190369850, 1.034068563,
2774.210801664, 1.033562080,
2774.231233378, 1.033109397,
2774.251665091, 1.033274800,
2774.272096805, 1.032990300,
